n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
"[200, 200]",0.0003727593720314938,0.002,1e-05,0.0,0.9,sigmoid,adamw,0.001,64,glorot,"(-0.05, 0.05)",150,0.4667305267511903,1.3728941396394772,54
"[200, 200]",0.0005179474679231213,0.0,0.001,0.3,0.7,elu,adamw,0.001,64,he,"(-0.05, 0.05)",50,0.4989997857701528,1.390438975764006,55
"[200, 200]",0.0003727593720314938,0.0005,1e-05,0.3,0.8,elu,rprop_prev_grad,0.0001,32,he,"(-0.05, 0.05)",100,7.950010285261836,6.149607579586163,56
"[120, 80]",0.00026826957952797245,0.002,0.001,0.3,0.8,sigmoid,quickprop,0.0001,16,orthogonal,"(-0.05, 0.05)",100,19.26508217717025,8.950141845737864,57
"[50, 50, 50]",0.0003727593720314938,0.0001,0.0005,0.2,0.9,sigmoid,rprop_prev_grad,0.0,8,he,"(-0.05, 0.05)",100,16.82700708508031,8.451993665957126,58
"[150, 100, 50]",0.00026826957952797245,0.001,0.001,0.3,0.8,sigmoid,sgd,0.0001,16,orthogonal,"(-0.05, 0.05)",100,13.830868420527842,7.692160708138394,59
"[200, 200]",0.0005179474679231213,0.01,1e-05,0.2,0.8,leaky_relu,adamw,0.001,64,glorot,"(-0.05, 0.05)",100,0.16852860539997724,0.7752790236770261,60
"[80, 60]",0.00013894954943731373,0.001,0.0001,0.2,0.7,relu,adam,0.0,64,glorot,"(-0.05, 0.05)",50,0.36070690817119777,1.3044808433003385,61
"[50, 50, 50]",0.00026826957952797245,0.0001,0.0001,0.2,0.7,leaky_relu,sgd,0.001,128,he,"(-0.05, 0.05)",50,2.1875606633140254,3.326464655117423,62
"[60, 60]",0.0003727593720314938,0.001,0.0001,0.3,0.7,sigmoid,rprop_prev_grad,0.0001,64,orthogonal,"(-0.05, 0.05)",100,22.912078062932427,9.735029206968182,63
"[80, 60]",0.0001,0.0001,0.001,0.0,0.7,elu,quickprop,0.0,128,xavier,"(-0.05, 0.05)",50,27.337756826025927,10.664141856671034,64
"[50, 50, 50]",0.0003727593720314938,0.0,0.0001,0.0,0.9,elu,rprop_prev_grad,0.001,128,he,"(-0.05, 0.05)",100,32.14962541921434,11.137614449956526,65
"[120, 80]",0.0003727593720314938,0.002,1e-05,0.3,0.8,sigmoid,rprop_prev_grad,0.001,8,he,"(-0.05, 0.05)",100,17.417827264969347,8.6544363714409,66
"[200, 200]",0.00013894954943731373,1e-05,0.0001,0.1,0.9,sigmoid,adam,0.0,64,orthogonal,"(-0.05, 0.05)",100,5.390374195425036,4.468635876702363,67
"[60, 60]",0.00026826957952797245,0.0001,0.0005,0.3,0.7,relu,adamw,0.001,128,he,"(-0.05, 0.05)",50,0.6739916820303679,1.826257227332049,68
"[150, 100, 50]",0.00026826957952797245,0.001,0.0001,0.2,0.7,sigmoid,sgd,0.0,32,range,"(-0.05, 0.05)",100,16.738986001202353,8.549220822205614,69
"[60, 60]",0.001,0.001,0.0005,0.3,0.8,elu,quickprop,0.0,128,xavier,"(-0.05, 0.05)",150,25.742172194018536,10.070864541640653,70
"[100, 70]",0.0003727593720314938,0.0,0.0,0.1,0.9,sigmoid,adamw,0.001,8,he,"(-0.05, 0.05)",150,0.27503568793684724,1.0492936604706236,71
"[200, 200]",0.001,0.0001,0.0001,0.3,0.9,elu,sgd,0.0001,32,orthogonal,"(-0.05, 0.05)",100,0.7940011711092045,1.8917805937587118,72
"[200, 200]",0.00013894954943731373,0.002,0.0001,0.2,0.8,elu,adamw,0.001,64,range,"(-0.05, 0.05)",100,0.35381521794237963,1.2910922482944303,73
"[60, 60]",0.0005179474679231213,0.0001,0.0005,0.0,0.8,sigmoid,rprop_prev_grad,0.0001,64,xavier,"(-0.05, 0.05)",150,21.936833846140207,9.522263208658893,74
"[100, 70]",0.001,0.001,0.001,0.0,0.7,leaky_relu,rprop_prev_grad,0.0,32,orthogonal,"(-0.05, 0.05)",50,16.538704904056253,8.360505768089824,75
"[60, 60]",0.00026826957952797245,0.001,0.0001,0.2,0.9,sigmoid,rprop_prev_grad,0.0001,8,he,"(-0.05, 0.05)",100,17.962191264244073,8.678224820806047,76
"[60, 60]",0.00019306977288832496,0.01,0.0005,0.2,0.8,elu,quickprop,0.0,64,range,"(-0.05, 0.05)",100,22.86931078179071,9.68513970099679,77
"[80, 60]",0.00019306977288832496,0.002,0.0,0.2,0.8,leaky_relu,rprop_prev_grad,0.0001,8,glorot,"(-0.05, 0.05)",150,14.144576767429744,7.768499322541379,78
"[150, 100, 50]",0.001,0.002,0.0001,0.3,0.9,elu,adamw,0.0001,128,range,"(-0.05, 0.05)",100,0.5039086534666013,1.530945893489434,79
"[100, 70]",0.00026826957952797245,0.001,0.0001,0.3,0.7,elu,sgd,0.0001,64,orthogonal,"(-0.05, 0.05)",150,2.637186511128307,3.3842717362938113,80
"[50, 50, 50]",0.00019306977288832496,0.01,0.0,0.1,0.9,leaky_relu,sgd,0.0001,8,range,"(-0.05, 0.05)",50,2.43467543203192,3.1700606992931735,81
"[200, 200]",0.00019306977288832496,0.01,0.0001,0.0,0.8,leaky_relu,adamw,0.001,64,xavier,"(-0.05, 0.05)",150,0.16109905051724296,0.6907145763041078,82
"[50, 50, 50]",0.0007196856730011522,0.0001,0.001,0.0,0.9,sigmoid,adam,0.001,32,he,"(-0.05, 0.05)",100,0.4771701365387728,1.3783019374716363,83
"[60, 60]",0.00013894954943731373,0.01,0.0001,0.2,0.7,sigmoid,adamw,0.0,32,glorot,"(-0.05, 0.05)",100,10.333316464789245,6.211073875365322,84
"[80, 60]",0.00026826957952797245,0.0005,0.001,0.1,0.7,relu,sgd,0.001,64,range,"(-0.05, 0.05)",100,2.898236273193455,3.4099807194000187,85
"[150, 100, 50]",0.00019306977288832496,1e-05,0.001,0.2,0.8,leaky_relu,sgd,0.0001,32,range,"(-0.05, 0.05)",50,2.7509169406986875,3.327693663080498,86
"[120, 80]",0.0005179474679231213,0.0005,0.0005,0.3,0.9,leaky_relu,quickprop,0.0001,16,orthogonal,"(-0.05, 0.05)",50,14.055590767945837,7.736570676480648,87
"[80, 60]",0.0007196856730011522,0.0005,0.0005,0.2,0.9,leaky_relu,sgd,0.001,64,glorot,"(-0.05, 0.05)",150,0.9416055636430775,2.0637554957141386,88
"[50, 50, 50]",0.0001,0.0005,0.001,0.2,0.7,leaky_relu,adam,0.001,16,range,"(-0.05, 0.05)",150,0.4341114789785572,1.4674758766231437,89
"[50, 50, 50]",0.00019306977288832496,0.001,0.0,0.0,0.8,elu,sgd,0.001,32,he,"(-0.05, 0.05)",100,0.2659615204209265,1.0999719400323453,90
"[100, 70]",0.0007196856730011522,1e-05,0.0001,0.1,0.9,leaky_relu,rprop_prev_grad,0.001,32,he,"(-0.05, 0.05)",100,27.548834717773403,10.07554594171246,91
"[50, 50, 50]",0.0003727593720314938,0.001,0.0005,0.0,0.8,sigmoid,adam,0.0,64,range,"(-0.05, 0.05)",50,13.181528777570712,7.5100135756362905,92
"[50, 50, 50]",0.0007196856730011522,0.0,0.0005,0.0,0.8,leaky_relu,adamw,0.001,64,glorot,"(-0.05, 0.05)",150,0.13604781849508304,0.7463154503960102,93
"[80, 60]",0.001,0.0,1e-05,0.2,0.9,relu,sgd,0.001,64,glorot,"(-0.05, 0.05)",50,0.900125032730691,2.0208273598441386,94
"[80, 60]",0.0001,0.0,0.0005,0.3,0.7,sigmoid,adam,0.001,16,orthogonal,"(-0.05, 0.05)",100,6.9556487946645715,5.018491770785563,95
"[200, 200]",0.0007196856730011522,0.0005,0.0001,0.3,0.9,sigmoid,quickprop,0.001,64,glorot,"(-0.05, 0.05)",150,20.649034635636223,9.242125370615556,96
"[100, 70]",0.00026826957952797245,0.01,0.001,0.1,0.8,sigmoid,adamw,0.001,32,xavier,"(-0.05, 0.05)",100,3.0091785425170996,3.0540132589844418,97
"[80, 60]",0.00013894954943731373,0.002,0.001,0.0,0.9,relu,rprop_prev_grad,0.0,8,glorot,"(-0.05, 0.05)",50,14.984098343730665,7.959092125578156,98
"[50, 50, 50]",0.00026826957952797245,0.0,1e-05,0.1,0.9,relu,adam,0.0001,16,range,"(-0.05, 0.05)",100,0.39337507618526024,1.3619082267271045,99
"[50, 50, 50]",0.00019306977288832496,1e-05,1e-05,0.2,0.7,sigmoid,sgd,0.0,8,glorot,"(-0.05, 0.05)",150,14.486946453732772,7.892404567254313,100
"[100, 70]",0.0001,1e-05,0.0005,0.0,0.7,elu,rprop_prev_grad,0.0,8,orthogonal,"(-0.05, 0.05)",100,20.290233471504553,9.196657906749856,101
"[150, 100, 50]",0.00013894954943731373,0.01,1e-05,0.1,0.9,sigmoid,rprop_prev_grad,0.0001,64,xavier,"(-0.05, 0.05)",100,22.52269955634701,9.61239251991755,102
"[50, 50, 50]",0.0007196856730011522,0.01,0.0,0.3,0.9,elu,sgd,0.0,32,range,"(-0.05, 0.05)",50,2.658811261345259,3.371670616459347,103
"[80, 60]",0.0003727593720314938,0.0005,1e-05,0.2,0.8,leaky_relu,quickprop,0.001,128,orthogonal,"(-0.05, 0.05)",150,22.582545727857422,9.661228398871522,104
"[60, 60]",0.00026826957952797245,0.01,0.001,0.1,0.8,leaky_relu,quickprop,0.0001,64,xavier,"(-0.05, 0.05)",100,28.525064349493018,10.677370823249543,105
"[100, 70]",0.0003727593720314938,0.0001,0.0001,0.3,0.7,sigmoid,sgd,0.0,64,xavier,"(-0.05, 0.05)",50,13.632422624691566,7.666835622522269,106
"[150, 100, 50]",0.0001,0.0005,1e-05,0.2,0.9,sigmoid,quickprop,0.0001,64,xavier,"(-0.05, 0.05)",150,22.743487181849698,9.66167317388978,107
"[100, 70]",0.0005179474679231213,0.0,1e-05,0.1,0.7,elu,adam,0.0,32,range,"(-0.05, 0.05)",50,0.26541107736180863,1.1219626445667712,108
"[50, 50, 50]",0.0003727593720314938,0.0005,0.0001,0.3,0.9,sigmoid,rprop_prev_grad,0.001,32,xavier,"(-0.05, 0.05)",100,21.361374352706996,9.38577154992057,109
"[200, 200]",0.0003727593720314938,0.0001,0.0005,0.0,0.7,relu,rprop_prev_grad,0.001,64,xavier,"(-0.05, 0.05)",150,14.901487615883774,8.082586099714257,110
"[200, 200]",0.0001,0.0,1e-05,0.1,0.8,elu,quickprop,0.0001,16,glorot,"(-0.05, 0.05)",150,18.10199781768491,8.655837549650943,111
"[100, 70]",0.00013894954943731373,0.0,0.0001,0.1,0.9,sigmoid,sgd,0.0001,64,orthogonal,"(-0.05, 0.05)",150,13.811202605308686,7.7167491427621915,112
"[120, 80]",0.0007196856730011522,0.0001,0.0001,0.0,0.8,elu,sgd,0.0001,128,orthogonal,"(-0.05, 0.05)",50,0.40304719910447856,1.3955116131916612,113
"[80, 60]",0.0007196856730011522,0.0005,0.0,0.0,0.7,leaky_relu,adam,0.0,32,glorot,"(-0.05, 0.05)",50,0.11994581839877767,0.703182748544555,114
"[60, 60]",0.001,0.001,0.001,0.1,0.7,elu,rprop_prev_grad,0.001,16,range,"(-0.05, 0.05)",50,16.573348739036625,8.45218663305102,115
"[120, 80]",0.0001,0.01,0.0,0.3,0.7,leaky_relu,rprop_prev_grad,0.0001,128,orthogonal,"(-0.05, 0.05)",100,21.297798164511615,9.475313771719511,116
"[60, 60]",0.0007196856730011522,0.0,0.0005,0.1,0.9,elu,adamw,0.0,64,xavier,"(-0.05, 0.05)",100,0.232835456984589,0.998681629328624,117
"[150, 100, 50]",0.0007196856730011522,0.0005,0.0,0.3,0.8,leaky_relu,adam,0.0001,16,xavier,"(-0.05, 0.05)",150,0.4808338837279336,1.4652751276777811,118
"[150, 100, 50]",0.00026826957952797245,0.002,0.0005,0.2,0.9,relu,adam,0.0,16,glorot,"(-0.05, 0.05)",50,0.22893792939402346,0.982256985435629,119
"[150, 100, 50]",0.00019306977288832496,0.002,0.0,0.1,0.9,elu,quickprop,0.001,128,orthogonal,"(-0.05, 0.05)",150,23.155650886581448,9.759212135902654,120
"[100, 70]",0.00019306977288832496,0.01,0.0,0.3,0.8,leaky_relu,adamw,0.001,8,glorot,"(-0.05, 0.05)",100,0.22382571989368852,0.979163165815922,121
"[120, 80]",0.001,0.0,0.0,0.2,0.8,sigmoid,sgd,0.001,128,range,"(-0.05, 0.05)",100,12.607562671965324,7.294809799135518,122
"[150, 100, 50]",0.0001,0.01,1e-05,0.1,0.8,elu,rprop_prev_grad,0.0,8,orthogonal,"(-0.05, 0.05)",100,18.371809194528378,8.743908286814088,123
"[200, 200]",0.00013894954943731373,0.0005,0.0001,0.0,0.7,elu,quickprop,0.001,128,range,"(-0.05, 0.05)",100,23.627731857476817,9.838539787931099,124
"[100, 70]",0.0003727593720314938,0.01,0.001,0.2,0.9,sigmoid,adamw,0.0,32,xavier,"(-0.05, 0.05)",100,1.3404860900634288,2.0937111247591265,125
"[100, 70]",0.00019306977288832496,0.0001,0.0,0.1,0.8,leaky_relu,quickprop,0.0,128,xavier,"(-0.05, 0.05)",150,36.554034165294965,11.775510456027984,126
"[120, 80]",0.0005179474679231213,0.002,0.0001,0.0,0.9,elu,rprop_prev_grad,0.0001,8,glorot,"(-0.05, 0.05)",50,12.11665489984481,7.135701582381448,127
"[80, 60]",0.0005179474679231213,0.002,0.001,0.1,0.7,relu,adam,0.0,32,xavier,"(-0.05, 0.05)",150,0.1783713851187765,0.8502957333903141,128
"[100, 70]",0.00019306977288832496,0.0005,0.001,0.1,0.7,relu,rprop_prev_grad,0.0,64,xavier,"(-0.05, 0.05)",100,34.366715998643095,11.394600125883649,129
"[200, 200]",0.00026826957952797245,0.01,1e-05,0.2,0.9,elu,adam,0.001,16,glorot,"(-0.05, 0.05)",50,0.17421245854787837,0.7960812886412423,130
"[100, 70]",0.001,0.01,0.0005,0.3,0.9,elu,adam,0.0,128,he,"(-0.05, 0.05)",50,0.44648927072627914,1.3519710017033617,131
"[200, 200]",0.001,0.002,0.0005,0.0,0.9,sigmoid,adamw,0.0,16,glorot,"(-0.05, 0.05)",150,0.14625556051078223,0.7121392366036129,132
"[80, 60]",0.0007196856730011522,0.0,0.0001,0.3,0.8,sigmoid,quickprop,0.0,64,range,"(-0.05, 0.05)",50,20.065097694719423,9.117224700864156,133
"[120, 80]",0.00013894954943731373,0.0001,0.0001,0.0,0.8,sigmoid,adamw,0.0,16,xavier,"(-0.05, 0.05)",100,1.7067102960932583,2.4113060146440732,134
"[200, 200]",0.00019306977288832496,0.002,0.001,0.3,0.9,sigmoid,sgd,0.0,32,he,"(-0.05, 0.05)",150,1.2584523516197998,2.346486754796269,135
"[200, 200]",0.0007196856730011522,0.0,0.0005,0.1,0.8,sigmoid,sgd,0.0,64,range,"(-0.05, 0.05)",50,8.178908544993513,5.717514142519637,136
"[60, 60]",0.001,0.0005,1e-05,0.0,0.9,relu,adam,0.0001,64,xavier,"(-0.05, 0.05)",50,0.13352375150062396,0.751486823942632,137
"[150, 100, 50]",0.0007196856730011522,1e-05,0.0,0.2,0.7,sigmoid,quickprop,0.0001,8,orthogonal,"(-0.05, 0.05)",100,16.475753616225127,8.484745763494445,138
"[200, 200]",0.0001,0.0001,0.0,0.2,0.7,sigmoid,rprop_prev_grad,0.001,32,he,"(-0.05, 0.05)",100,21.044023112501474,9.473070255386547,139
"[150, 100, 50]",0.0005179474679231213,0.002,0.0001,0.3,0.9,elu,adam,0.0,8,orthogonal,"(-0.05, 0.05)",100,0.4023535612137622,1.3674293197910643,140
"[80, 60]",0.0001,0.002,0.0001,0.0,0.8,leaky_relu,rprop_prev_grad,0.0001,128,orthogonal,"(-0.05, 0.05)",50,23.802918361674944,9.919006136672119,141
"[50, 50, 50]",0.00026826957952797245,0.0001,0.0005,0.0,0.9,leaky_relu,adamw,0.0,32,orthogonal,"(-0.05, 0.05)",150,0.12322161674630704,0.7079123073352289,142
"[120, 80]",0.0007196856730011522,0.0001,0.0001,0.3,0.9,elu,adamw,0.001,32,xavier,"(-0.05, 0.05)",50,0.385726045706978,1.2879245776636872,143
