n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
[3],0.06999999999999999,0.004,0.0,0.25,0.5,relu,adam,0.0,8,glorot,"(-0.7, 0.7)",10,0.309039309098471,0.92,31
[3],0.049999999999999996,0.014,0.008,0.2,0.6,sigmoid,adam,0.04,64,xavier,"(-0.7, 0.7)",30,0.5415452592306074,0.84,32
[6],0.10999999999999997,0.008,0.0,0.05,0.8999999999999999,leaky_relu,sgd,0.04,16,he,"(-0.1, 0.1)",30,0.07097113878066919,1.0,33
[3],0.16999999999999998,0.004,0.008,0.15000000000000002,0.5,sigmoid,adam,0.0,16,range,"(-0.1, 0.1)",30,0.3733101637579202,0.88,34
[3],0.049999999999999996,0.008,0.006,0.25,0.6,relu,sgd,0.02,8,xavier,"(-0.1, 0.1)",30,0.5029495182310291,0.84,35
[6],0.18999999999999997,0.008,0.002,0.15000000000000002,0.6,leaky_relu,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.5029880783420234,0.72,36
[4],0.15,0.006,0.006,0.05,0.6,leaky_relu,sgd,0.0,8,he,"(-0.1, 0.1)",10,0.2363996397051815,0.92,37
[4],0.01,0.016,0.0,0.15000000000000002,0.7999999999999999,relu,adam,0.01,16,range,"(-0.1, 0.1)",30,0.3462429986611357,0.88,38
[5],0.08999999999999998,0.01,0.002,0.15000000000000002,0.7999999999999999,leaky_relu,sgd,0.03,8,he,"(-0.1, 0.1)",20,0.1319327013766125,0.92,39
[5],0.08999999999999998,0.004,0.006,0.1,0.6,leaky_relu,adam,0.02,8,xavier,"(-0.5, 0.5)",20,0.20818219089444287,0.92,40
[4],0.06999999999999999,0.0,0.0,0.0,0.5,sigmoid,adam,0.01,32,he,"(-0.5, 0.5)",10,0.4255462025700777,0.88,41
[4],0.12999999999999998,0.004,0.0,0.05,0.7,tanh,adam,0.0,8,xavier,"(-0.1, 0.1)",30,0.29517283578851283,0.88,42
[5],0.01,0.014,0.002,0.25,0.7,sigmoid,adam,0.04,16,xavier,"(-0.1, 0.1)",10,0.574682598818949,0.88,43
[4],0.03,0.016,0.004,0.1,0.8999999999999999,tanh,sgd,0.04,64,glorot,"(-0.5, 0.5)",20,0.5629853086842169,0.8,44
[6],0.15,0.01,0.0,0.15000000000000002,0.6,leaky_relu,adam,0.01,64,glorot,"(-0.7, 0.7)",30,0.13147143304901776,1.0,45
[4],0.12999999999999998,0.018000000000000002,0.004,0.1,0.8999999999999999,relu,adam,0.02,16,glorot,"(-0.7, 0.7)",20,0.25391814143261665,0.92,46
[5],0.08999999999999998,0.014,0.004,0.25,0.7,leaky_relu,adam,0.03,64,glorot,"(-0.5, 0.5)",10,0.43130287266637524,0.76,47
[3],0.049999999999999996,0.002,0.002,0.05,0.6,leaky_relu,sgd,0.02,64,range,"(-0.1, 0.1)",30,0.6954521312798901,0.4,48
[5],0.10999999999999997,0.002,0.0,0.05,0.5,leaky_relu,sgd,0.01,64,range,"(-0.7, 0.7)",10,0.7285214126795917,0.44,49
[4],0.16999999999999998,0.014,0.008,0.2,0.7,leaky_relu,sgd,0.02,16,he,"(-0.1, 0.1)",30,0.35487953743278217,0.84,50
[6],0.18999999999999997,0.006,0.006,0.05,0.6,relu,adam,0.01,32,xavier,"(-0.7, 0.7)",10,0.21099580833706766,0.92,51
[4],0.08999999999999998,0.016,0.0,0.15000000000000002,0.8999999999999999,leaky_relu,adam,0.0,64,range,"(-0.7, 0.7)",10,0.21083296866920018,0.96,52
[5],0.16999999999999998,0.004,0.002,0.0,0.6,sigmoid,adam,0.04,64,range,"(-0.1, 0.1)",10,0.32640631284099,0.84,53
[4],0.16999999999999998,0.006,0.004,0.2,0.8999999999999999,sigmoid,sgd,0.02,64,he,"(-0.7, 0.7)",30,0.553364011799722,0.76,54
[5],0.03,0.006,0.0,0.0,0.8999999999999999,relu,adam,0.04,16,xavier,"(-0.7, 0.7)",10,0.09334648995827008,1.0,55
[4],0.16999999999999998,0.004,0.006,0.2,0.8999999999999999,relu,sgd,0.04,32,he,"(-0.1, 0.1)",20,0.4182698676568721,0.8,56
[4],0.03,0.006,0.004,0.0,0.6,leaky_relu,adam,0.01,32,glorot,"(-0.5, 0.5)",20,0.21229688594240395,0.92,57
[4],0.03,0.006,0.008,0.15000000000000002,0.6,relu,sgd,0.0,64,he,"(-0.1, 0.1)",20,0.679170304323766,0.4,58
[4],0.08999999999999998,0.004,0.002,0.25,0.7,leaky_relu,adam,0.0,8,he,"(-0.7, 0.7)",10,0.28802062119232225,0.88,59
[3],0.15,0.018000000000000002,0.006,0.0,0.8999999999999999,leaky_relu,sgd,0.02,64,he,"(-0.5, 0.5)",20,0.5122176576643432,0.76,60
[6],0.15,0.0,0.006,0.2,0.5,sigmoid,sgd,0.02,16,glorot,"(-0.7, 0.7)",20,0.6095550412563004,0.64,61
[5],0.10999999999999997,0.008,0.008,0.1,0.6,sigmoid,adam,0.0,8,he,"(-0.1, 0.1)",30,0.22282507955858963,0.96,62
[5],0.03,0.004,0.002,0.15000000000000002,0.8999999999999999,tanh,sgd,0.03,8,xavier,"(-0.7, 0.7)",30,0.2720315713859877,0.96,63
[6],0.10999999999999997,0.002,0.008,0.1,0.7999999999999999,relu,sgd,0.01,8,glorot,"(-0.1, 0.1)",10,0.11032104996452775,1.0,64
[3],0.049999999999999996,0.018000000000000002,0.0,0.25,0.5,leaky_relu,adam,0.0,32,xavier,"(-0.1, 0.1)",20,0.32421546202458656,0.92,65
[6],0.049999999999999996,0.014,0.006,0.1,0.7999999999999999,sigmoid,sgd,0.02,8,range,"(-0.5, 0.5)",20,0.5590166459952693,0.88,66
[5],0.16999999999999998,0.014,0.0,0.0,0.7999999999999999,tanh,adam,0.03,16,xavier,"(-0.5, 0.5)",10,0.222035699649823,0.92,67
[3],0.01,0.004,0.008,0.0,0.7999999999999999,relu,adam,0.02,32,he,"(-0.7, 0.7)",20,0.6364363425564502,0.76,68
[4],0.12999999999999998,0.002,0.008,0.2,0.5,sigmoid,sgd,0.0,8,glorot,"(-0.5, 0.5)",10,0.5299685307094355,0.8,69
[3],0.01,0.002,0.008,0.0,0.7,leaky_relu,sgd,0.0,64,he,"(-0.5, 0.5)",10,0.6642263656640898,0.56,70
[5],0.12999999999999998,0.004,0.004,0.2,0.6,tanh,adam,0.01,8,xavier,"(-0.5, 0.5)",30,0.1827882750672722,0.92,71
[4],0.03,0.0,0.006,0.05,0.5,sigmoid,adam,0.0,16,range,"(-0.7, 0.7)",10,0.41233296489997373,0.84,72
[5],0.01,0.016,0.006,0.05,0.8999999999999999,sigmoid,sgd,0.02,64,xavier,"(-0.7, 0.7)",10,0.6961055301271084,0.48,73
[6],0.18999999999999997,0.01,0.008,0.05,0.8999999999999999,leaky_relu,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.2375847425194144,0.92,74
[6],0.10999999999999997,0.016,0.008,0.25,0.7,tanh,sgd,0.01,16,range,"(-0.5, 0.5)",20,0.4367278339839011,0.8,75
[3],0.049999999999999996,0.006,0.008,0.2,0.6,leaky_relu,sgd,0.03,64,glorot,"(-0.5, 0.5)",30,0.7020103478959079,0.52,76
[5],0.15,0.014,0.006,0.05,0.5,leaky_relu,adam,0.0,64,glorot,"(-0.7, 0.7)",20,0.7900896026725625,0.76,77
[3],0.01,0.014,0.006,0.2,0.7,tanh,adam,0.0,64,he,"(-0.5, 0.5)",30,0.5456926071046994,0.84,78
