n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[3],0.01,0.0,0.0,0.2,0.8,tanh,adam,0.01,32,he,"(-0.5, 0.5)",20,0.4655417279361788,0.88
[3],0.01,0.0,0.0,0.2,0.8,relu,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.6523263411482535,0.68
[3],0.01,0.0,0.0,0.2,0.8,relu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.6812797292311871,0.6
[3],0.01,0.0,0.0,0.2,0.8,relu,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6601629192485189,0.56
[3],0.01,0.0,0.0,0.2,0.8,relu,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.6314997283281147,0.48
[3],0.01,0.0,0.0,0.2,0.8,relu,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.5714409805186851,0.72
[3],0.01,0.0,0.0,0.2,0.8,relu,adam,0.0,32,he,"(-0.5, 0.5)",20,0.22110077928553834,0.88
[3],0.01,0.0,0.0,0.2,0.8,relu,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.41642510266247784,0.8
[3],0.01,0.0,0.0,0.2,0.8,relu,adam,0.01,32,he,"(-0.5, 0.5)",20,0.6923895626334169,0.52
[3],0.01,0.0,0.0,0.2,0.9,tanh,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.5421362441400563,0.8
[3],0.01,0.0,0.0,0.2,0.9,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5391492379412526,0.88
[3],0.01,0.0,0.0,0.2,0.9,tanh,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6111368559784599,0.72
[3],0.01,0.0,0.0,0.2,0.9,tanh,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.6310084330838849,0.6
[3],0.01,0.0,0.0,0.2,0.9,tanh,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.4649699542026425,0.88
[3],0.01,0.0,0.0,0.2,0.9,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.4122317334981849,0.84
[3],0.01,0.0,0.0,0.2,0.9,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.4841459499900757,0.84
[3],0.01,0.0,0.0,0.2,0.9,tanh,adam,0.01,32,he,"(-0.5, 0.5)",20,0.5281451528045871,0.8
[3],0.01,0.0,0.0,0.2,0.9,relu,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.6635740774608407,0.68
[3],0.01,0.0,0.0,0.2,0.9,relu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.4111847348889219,0.76
[3],0.01,0.0,0.0,0.2,0.9,relu,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.5899966710842142,0.68
[3],0.01,0.0,0.0,0.2,0.9,relu,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.6028753512251116,0.56
[3],0.01,0.0,0.0,0.2,0.9,relu,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.3029603752834001,0.92
[3],0.01,0.0,0.0,0.2,0.9,relu,adam,0.0,32,he,"(-0.5, 0.5)",20,0.530029568114876,0.68
[3],0.01,0.0,0.0,0.2,0.9,relu,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.555414913977354,0.72
[3],0.01,0.0,0.0,0.2,0.9,relu,adam,0.01,32,he,"(-0.5, 0.5)",20,0.26510077252997805,0.96
[3],0.01,0.0,0.002,0.0,0.8,tanh,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.5627285819585338,0.72
[3],0.01,0.0,0.002,0.0,0.8,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5602409356703216,0.72
[3],0.01,0.0,0.002,0.0,0.8,tanh,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6757371748985294,0.56
[3],0.01,0.0,0.002,0.0,0.8,tanh,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.611153646239031,0.64
[3],0.01,0.0,0.002,0.0,0.8,tanh,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.5107286863214232,0.76
[3],0.01,0.0,0.002,0.0,0.8,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.4856040752102086,0.8
[3],0.01,0.0,0.002,0.0,0.8,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.4506758728328317,0.8
[3],0.01,0.0,0.002,0.0,0.8,tanh,adam,0.01,32,he,"(-0.5, 0.5)",20,0.5803927726025317,0.64
[3],0.01,0.0,0.002,0.0,0.8,relu,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.6070440608391015,0.68
[3],0.01,0.0,0.002,0.0,0.8,relu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5580147637675567,0.68
[3],0.01,0.0,0.002,0.0,0.8,relu,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6022023464753283,0.72
[3],0.01,0.0,0.002,0.0,0.8,relu,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.6743463557547288,0.56
[3],0.01,0.0,0.002,0.0,0.8,relu,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.3766285154356666,0.88
[3],0.01,0.0,0.002,0.0,0.8,relu,adam,0.0,32,he,"(-0.5, 0.5)",20,0.2116248926421569,0.96
[3],0.01,0.0,0.002,0.0,0.8,relu,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.40192018274345886,0.76
[3],0.01,0.0,0.002,0.0,0.8,relu,adam,0.01,32,he,"(-0.5, 0.5)",20,0.49978407238847555,0.72
[3],0.01,0.0,0.002,0.0,0.9,tanh,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.49612098584584474,0.8
[3],0.01,0.0,0.002,0.0,0.9,tanh,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.5228623259714056,0.8
[3],0.01,0.0,0.002,0.0,0.9,tanh,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.5297049523174526,0.8
[3],0.01,0.0,0.002,0.0,0.9,tanh,sgd,0.01,32,he,"(-0.5, 0.5)",20,0.5319207969448421,0.84
[3],0.01,0.0,0.002,0.0,0.9,tanh,adam,0.0,32,xavier,"(-0.5, 0.5)",20,0.4808676040903034,0.8
[3],0.01,0.0,0.002,0.0,0.9,tanh,adam,0.0,32,he,"(-0.5, 0.5)",20,0.4507352125327228,0.88
[3],0.01,0.0,0.002,0.0,0.9,tanh,adam,0.01,32,xavier,"(-0.5, 0.5)",20,0.46106576561136414,0.8
[3],0.01,0.0,0.002,0.0,0.9,tanh,adam,0.01,32,he,"(-0.5, 0.5)",20,0.5171950188357973,0.8
[3],0.01,0.0,0.002,0.0,0.9,relu,sgd,0.0,32,xavier,"(-0.5, 0.5)",20,0.4798692014136587,0.8
[3],0.01,0.0,0.002,0.0,0.9,relu,sgd,0.0,32,he,"(-0.5, 0.5)",20,0.6734032477523542,0.64
[3],0.01,0.0,0.002,0.0,0.9,relu,sgd,0.01,32,xavier,"(-0.5, 0.5)",20,0.6101303221247267,0.68
