n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.02430822707181639,0.92
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.031439201273807414,0.92
[4],0.16,0.0,0.0,0.2,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.022367548295760917,0.92
[4],0.16,0.0,0.0,0.2,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.0350454715163806,0.88
[4],0.16,0.0,0.0,0.2,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.017298210714478124,1.0
[4],0.16,0.0,0.0,0.2,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.05695415502408123,0.8
[4],0.16,0.0,0.0,0.2,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.023158288622515556,0.96
[4],0.16,0.0,0.0,0.2,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.02241019054692761,0.96
[4],0.01,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.0394842103381699,1.0
[4],0.01,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.03233426125510011,0.96
[4],0.01,0.0,0.0,0.25,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.026518872453450647,0.96
[4],0.01,0.0,0.0,0.25,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.02840832153357682,0.92
[4],0.01,0.0,0.0,0.25,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.05423380609350479,1.0
[4],0.01,0.0,0.0,0.25,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.040908247740948464,0.96
[4],0.01,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.03175794236278149,0.96
[4],0.01,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.02796975413382595,0.96
[4],0.01,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.019417778499978028,0.96
