n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
[3],0.16,0.0,0.0,0.0,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.03157305160472408,0.92,61
[4],0.01,0.0,0.0,0.2,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.096120554669121,0.84,62
[3],0.01,0.0,0.0,0.15000000000000002,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.12551755629787525,0.48,63
[3],0.01,0.0,0.0,0.1,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.08484158909784449,0.8,64
[3],0.01,0.0,0.0,0.1,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.12365885257022928,0.56,65
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.002326747979798826,1.0,66
[4],0.01,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.07339673839084167,0.84,67
[4],0.01,0.0,0.0,0.1,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.10401515389546086,0.68,69
[3],0.01,0.0,0.0,0.25,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.09837004913274468,0.72,71
[3],0.16,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.041448984146078865,0.92,72
[3],0.01,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.12608489680379983,0.44,73
[3],0.16,0.0,0.0,0.2,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.03518069961770277,0.92,74
[3],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.016675061012395777,0.92,75
[3],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.016178378050845564,0.92,76
[4],0.16,0.0,0.0,0.25,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.07548203710204775,0.84,77
[4],0.01,0.0,0.0,0.25,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.1269944078386176,0.4,78
[3],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.049658846884541426,0.84,79
[3],0.01,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.10451594191727036,0.68,80
[4],0.01,0.0,0.0,0.15000000000000002,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.12370952731516667,0.52,81
[4],0.16,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.010209946464432957,1.0,82
[3],0.16,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.0294171579888792,0.92,83
[3],0.01,0.0,0.0,0.25,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.11684663141614861,0.56,84
[4],0.01,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.11312090136929286,0.64,85
[4],0.01,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.11785593693126557,0.64,86
[4],0.16,0.0,0.0,0.2,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.05545218431230513,0.88,87
[3],0.16,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.053742504380170315,0.88,88
[3],0.01,0.0,0.0,0.2,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.1252894852116247,0.48,89
[4],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.006549683634290507,1.0,90
[3],0.16,0.0,0.0,0.1,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.056944978822081146,0.88,91
[3],0.01,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.12347557733896618,0.56,92
[3],0.01,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.12694653903849912,0.4,94
[4],0.01,0.0,0.0,0.2,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.12122628810491219,0.48,95
[4],0.16,0.0,0.0,0.0,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.05427930436427829,0.88,96
[4],0.16,0.0,0.0,0.15000000000000002,0.8500000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.008089278031916051,1.0,98
[3],0.01,0.0,0.0,0.0,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.12738629522749212,0.4,99
[4],0.16,0.0,0.0,0.25,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.0345773048443637,0.88,100
[4],0.01,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.12293405543079299,0.56,101
[3],0.01,0.0,0.0,0.1,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.12758160844743346,0.4,102
[3],0.01,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.07294873291846797,0.88,103
[4],0.01,0.0,0.0,0.0,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.12368343209926523,0.52,104
[4],0.16,0.0,0.0,0.1,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.05265736994891413,0.88,105
[3],0.01,0.0,0.0,0.15000000000000002,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.0786354744961384,0.84,106
[4],0.01,0.0,0.0,0.15000000000000002,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.12466733637548837,0.48,108
[4],0.01,0.0,0.0,0.15000000000000002,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.12536792636965355,0.4,110
[4],0.16,0.0,0.0,0.25,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.038714752090534904,0.92,111
[3],0.16,0.0,0.0,0.15000000000000002,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.011350370949532028,0.96,112
[4],0.16,0.0,0.0,0.2,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.03984460735886214,0.92,113
[4],0.01,0.0,0.0,0.25,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.12167262279184031,0.44,114
[3],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.028882594584230214,0.92,115
[4],0.16,0.0,0.0,0.15000000000000002,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.009541479071271656,1.0,116
[4],0.01,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.12466570421195824,0.48,117
[4],0.16,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.03160312681774434,0.96,118
[4],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.04770413130761108,0.88,119
[3],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.03451758734871933,0.92,120
[4],0.16,0.0,0.0,0.05,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.004644031068412863,1.0,121
[4],0.16,0.0,0.0,0.2,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.004474101733498684,1.0,122
[3],0.01,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.1165285503338133,0.56,123
[4],0.01,0.0,0.0,0.15000000000000002,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.12100498237941211,0.52,124
[4],0.01,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,8,gaussian,"(-0.5, 0.5)",15,0.12376668059930541,0.52,125
[4],0.01,0.0,0.0,0.0,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.12096297613497851,0.56,126
[3],0.01,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.127555569018834,0.4,127
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.02548233504436196,0.96,128
[3],0.16,0.0,0.0,0.15000000000000002,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.03785708172697585,0.88,129
[3],0.16,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,8,gaussian,"(-0.1, 0.1)",15,0.05162771851440556,0.84,130
[4],0.01,0.0,0.0,0.25,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.08829048654861495,0.8,132
[4],0.01,0.0,0.0,0.2,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.10844250258823691,0.72,134
[3],0.16,0.0,0.0,0.1,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.006537435381561068,1.0,135
