n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
[5],0.12999999999999998,0.01,0.004,0.25,0.1,sigmoid,adam,0.03,64,he,"(-0.7, 0.7)",20,0.10116335480641653,0.84,67
[3],0.15,0.002,0.004,0.1,0.5,sigmoid,adam,0.04,8,range,"(-0.5, 0.5)",20,0.04355324039705948,1.0,68
[3],0.06999999999999999,0.016,0.004,0.2,0.7000000000000001,tanh,sgd,0.01,32,range,"(-0.1, 0.1)",20,0.08284490885543544,0.8,69
[6],0.15,0.002,0.0,0.25,0.30000000000000004,sigmoid,adam,0.04,8,range,"(-0.5, 0.5)",20,0.06175165225468476,0.92,70
[4],0.03,0.014,0.0,0.25,0.2,tanh,adam,0.04,32,glorot,"(-0.5, 0.5)",20,0.07032246578801635,0.84,71
[4],0.15,0.016,0.002,0.15000000000000002,0.30000000000000004,sigmoid,sgd,0.02,64,he,"(-0.7, 0.7)",20,0.11842973708802061,0.6,72
[3],0.08999999999999998,0.008,0.008,0.2,0.7000000000000001,sigmoid,adam,0.04,64,he,"(-0.5, 0.5)",30,0.11936550661039388,0.76,73
[6],0.15,0.01,0.002,0.25,0.30000000000000004,tanh,sgd,0.03,8,he,"(-0.7, 0.7)",20,0.057114652318899006,0.88,74
[6],0.12999999999999998,0.004,0.006,0.0,0.2,tanh,sgd,0.03,8,range,"(-0.5, 0.5)",20,0.08332498448864802,0.8,75
[4],0.12999999999999998,0.004,0.0,0.15000000000000002,0.4,tanh,adam,0.0,32,range,"(-0.5, 0.5)",20,0.02619371208054194,1.0,76
[6],0.16999999999999998,0.0,0.008,0.0,0.30000000000000004,tanh,sgd,0.0,64,gaussian,"(-0.7, 0.7)",30,0.13924676678421827,0.4,77
[3],0.15,0.004,0.004,0.0,0.0,tanh,sgd,0.02,32,he,"(-0.5, 0.5)",20,0.0820402372756244,0.84,78
