n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[3],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.07560767185723867,0.84
[3],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,4,gaussian,"(-0.5, 0.5)",15,0.012140647101953556,0.96
[4],0.16,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.0020868967458887544,1.0
[4],0.16,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.009936184203437006,1.0
[4],0.16,0.0,0.0,0.0,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.003374164843762815,1.0
[4],0.16,0.0,0.0,0.0,0.8500000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.003674527012092944,1.0
[3],0.16,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.04071989643083386,0.84
[3],0.16,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.005940021512093716,1.0
[3],0.16,0.0,0.0,0.0,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.00458370994665194,1.0
[3],0.16,0.0,0.0,0.0,0.8500000000000001,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.038358338251230334,0.88
[4],0.16,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.00955285742559624,1.0
[4],0.16,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.03406869752108986,0.92
[4],0.16,0.0,0.0,0.0,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.004082466499258272,1.0
[4],0.16,0.0,0.0,0.0,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.013566393194971146,0.96
[3],0.16,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.01285615989891331,1.0
[3],0.16,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.023661113001025393,0.92
[3],0.16,0.0,0.0,0.0,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.003460925728759111,1.0
[3],0.16,0.0,0.0,0.0,0.7,sigmoid,sgd,0.0,4,gaussian,"(-0.1, 0.1)",15,0.007405373151131077,1.0
